QueryID,QueryType,Database,Model,Recall,Precision,R-Precision
54,FullWords,Database0,Boolean,0.0,0.0,0.0
56,FullWords,Database0,Boolean,0.0,0.0,0.0
57,FullWords,Database0,Boolean,0.0,0.0,0.0
58,FullWords,Database0,Boolean,0.0,0.0,0.0
59,FullWords,Database0,Boolean,0.0,0.0,0.0
60,FullWords,Database0,Boolean,0.0,0.0,0.0
61,FullWords,Database0,Boolean,0.0,0.0,0.0
62,FullWords,Database0,Boolean,0.0,0.0,0.0
63,FullWords,Database0,Boolean,0.0,0.0,0.0
64,FullWords,Database0,Boolean,0.0,0.0,0.0
68,FullWords,Database0,Boolean,0.0,0.0,0.0
71,FullWords,Database0,Boolean,0.0,0.0,0.0
77,FullWords,Database0,Boolean,0.0,0.0,0.0
80,FullWords,Database0,Boolean,0.0,0.0,0.0
85,FullWords,Database0,Boolean,0.0,0.0,0.0
87,FullWords,Database0,Boolean,0.0,0.0,0.0
89,FullWords,Database0,Boolean,0.0,0.0,0.0
91,FullWords,Database0,Boolean,0.0,0.0,0.0
93,FullWords,Database0,Boolean,0.0,0.0,0.0
94,FullWords,Database0,Boolean,0.0,0.0,0.0
95,FullWords,Database0,Boolean,0.0,0.0,0.0
97,FullWords,Database0,Boolean,0.0,0.0,0.0
98,FullWords,Database0,Boolean,0.0,0.0,0.0
99,FullWords,Database0,Boolean,0.0,0.0,0.0
100,FullWords,Database0,Boolean,0.0,0.0,0.0
54,FullWords,Database1,Boolean,0.0,0.0,0.0
56,FullWords,Database1,Boolean,0.0,0.0,0.0
57,FullWords,Database1,Boolean,0.0,0.0,0.0
58,FullWords,Database1,Boolean,0.0,0.0,0.0
59,FullWords,Database1,Boolean,0.0,0.0,0.0
60,FullWords,Database1,Boolean,0.0,0.0,0.0
61,FullWords,Database1,Boolean,0.0,0.0,0.0
62,FullWords,Database1,Boolean,0.0,0.0,0.0
63,FullWords,Database1,Boolean,0.0,0.0,0.0
64,FullWords,Database1,Boolean,0.0,0.0,0.0
68,FullWords,Database1,Boolean,0.0,0.0,0.0
71,FullWords,Database1,Boolean,0.0,0.0,0.0
77,FullWords,Database1,Boolean,0.0,0.0,0.0
80,FullWords,Database1,Boolean,0.0,0.0,0.0
85,FullWords,Database1,Boolean,0.0,0.0,0.0
87,FullWords,Database1,Boolean,0.0,0.0,0.0
89,FullWords,Database1,Boolean,0.0,0.0,0.0
91,FullWords,Database1,Boolean,0.0,0.0,0.0
93,FullWords,Database1,Boolean,0.0,0.0,0.0
94,FullWords,Database1,Boolean,0.0,0.0,0.0
95,FullWords,Database1,Boolean,0.0,0.0,0.0
97,FullWords,Database1,Boolean,0.0,0.0,0.0
98,FullWords,Database1,Boolean,0.0,0.0,0.0
99,FullWords,Database1,Boolean,0.0,0.0,0.0
100,FullWords,Database1,Boolean,0.0,0.0,0.0
54,FullWords,Database2,Boolean,0.0,0.0,0.0
56,FullWords,Database2,Boolean,0.0,0.0,0.0
57,FullWords,Database2,Boolean,0.0,0.0,0.0
58,FullWords,Database2,Boolean,0.0,0.0,0.0
59,FullWords,Database2,Boolean,0.0,0.0,0.0
60,FullWords,Database2,Boolean,0.0,0.0,0.0
61,FullWords,Database2,Boolean,0.0,0.0,0.0
62,FullWords,Database2,Boolean,0.0,0.0,0.0
63,FullWords,Database2,Boolean,0.0,0.0,0.0
64,FullWords,Database2,Boolean,0.0,0.0,0.0
68,FullWords,Database2,Boolean,0.0,0.0,0.0
71,FullWords,Database2,Boolean,0.0,0.0,0.0
77,FullWords,Database2,Boolean,0.0,0.0,0.0
80,FullWords,Database2,Boolean,0.0,0.0,0.0
85,FullWords,Database2,Boolean,0.0,0.0,0.0
87,FullWords,Database2,Boolean,0.0,0.0,0.0
89,FullWords,Database2,Boolean,0.0,0.0,0.0
91,FullWords,Database2,Boolean,0.0,0.0,0.0
93,FullWords,Database2,Boolean,0.0,0.0,0.0
94,FullWords,Database2,Boolean,0.0,0.0,0.0
95,FullWords,Database2,Boolean,0.0,0.0,0.0
97,FullWords,Database2,Boolean,0.0,0.0,0.0
98,FullWords,Database2,Boolean,0.0,0.0,0.0
99,FullWords,Database2,Boolean,0.0,0.0,0.0
100,FullWords,Database2,Boolean,0.0,0.0,0.0
54,FullWords,Database3,Boolean,0.0,0.0,0.0
56,FullWords,Database3,Boolean,0.0,0.0,0.0
57,FullWords,Database3,Boolean,0.0,0.0,0.0
58,FullWords,Database3,Boolean,0.0,0.0,0.0
59,FullWords,Database3,Boolean,0.0,0.0,0.0
60,FullWords,Database3,Boolean,0.0,0.0,0.0
61,FullWords,Database3,Boolean,0.0,0.0,0.0
62,FullWords,Database3,Boolean,0.0,0.0,0.0
63,FullWords,Database3,Boolean,0.0,0.0,0.0
64,FullWords,Database3,Boolean,0.0,0.0,0.0
68,FullWords,Database3,Boolean,0.0,0.0,0.0
71,FullWords,Database3,Boolean,0.0,0.0,0.0
77,FullWords,Database3,Boolean,0.0,0.0,0.0
80,FullWords,Database3,Boolean,0.0,0.0,0.0
85,FullWords,Database3,Boolean,0.0,0.0,0.0
87,FullWords,Database3,Boolean,0.0,0.0,0.0
